Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000187210	41.95470447542349	-0.56151932892542	0.17056849187435988	1.5993956687537507e-4	7.056399675245127e-4	TRUE
ENSG00000267289	0.9584469385074861	-0.5621834143302985	0.30591250843606627	0.006283792643994854	0.01951203045165532	TRUE
ENSG00000088756	55.47378929674358	-0.5624631429397964	0.11667697614245146	2.5287169183976943e-7	1.837539061601492e-6	TRUE
ENSG00000267543	2.28019351153949	-0.5629271111248082	0.20789508079585742	8.3506803776557e-4	0.003174592873263252	TRUE
ENSG00000147852	294.467323926155	-0.5629883704741572	0.08698188944712999	1.9209907984625384e-11	2.6695434595183845e-10	TRUE
ENSG00000168481	100.57389441410477	-0.5631185947993872	0.08378527340614769	3.4000881599157566e-12	5.3271503212826446e-11	TRUE
ENSG00000108551	82.90050252760116	-0.5641191405433724	0.0722053134893603	1.0717360110200751e-15	2.812896506962291e-14	TRUE
ENSG00000113083	18.220070562222702	-0.5642530640727017	0.12401136158466361	8.689722987153584e-7	5.805575459046057e-6	TRUE
ENSG00000270866	150.75880535825834	-0.564402831403247	0.09625381839912005	8.576333440079118e-10	9.25041020400108e-9	TRUE
ENSG00000164270	2.923169246644826	-0.5650465716429176	0.19319129526389134	4.4950602574134256e-4	0.0018064187566676794	TRUE
ENSG00000136099	109.58515696139546	-0.5654253085807084	0.17580258149064112	2.1563050695764586e-4	9.291675123724151e-4	TRUE
ENSG00000115380	3.204501496671102	-0.5657279928807133	0.23492528367140145	0.0018977993221490185	0.006688239416077223	TRUE
ENSG00000204252	4.960990500498011	-0.5666274051860739	0.2738255775331635	0.004374317351448552	0.01413279068847863	TRUE
ENSG00000165694	133.80595025114417	-0.5673179860243617	0.1346705816544744	4.5290814616867234e-6	2.671596606015619e-5	TRUE
ENSG00000273473	2.3584517904559092	-0.5683519748492518	0.21536575248651063	0.0010298416252250853	0.003841164256083404	TRUE
ENSG00000278052	1.0757574389318494	-0.5689297027693223	0.3425044908818215	0.008602262371280246	0.02574066980668987	TRUE
ENSG00000168484	12.080045057758262	-0.5691071626742806	0.32258343322774846	0.008642875263264103	0.025847146169642822	TRUE
ENSG00000266494	0.4881073703125318	-0.5701447425102756	0.5228170058887444	0.01832282489623534	0.04996338593959111	TRUE
ENSG00000275088	0.6246602327498727	-0.5710539268076401	0.409548491156083	0.012314673350694994	0.03543512250102857	TRUE
ENSG00000176927	55.19565080752867	-0.5712164020098454	0.20500825860564043	7.939973646963091e-4	0.003030564807764656	TRUE
ENSG00000214140	21.03982227287118	-0.572335062252706	0.11057520194243434	3.688910981051251e-8	3.0965882933064976e-7	TRUE
ENSG00000174776	2.647297803576106	-0.5723659083061599	0.292322975388816	0.005351556588496083	0.01693451312086291	TRUE
ENSG00000231394	0.9794225488696876	-0.5723929326693042	0.3264887127046524	0.0068580453759191475	0.02104591853985937	TRUE
ENSG00000158321	2083.231501296471	-0.5728623807365412	0.09305345531536223	1.5033307081222406e-10	1.8394325021524272e-9	TRUE
ENSG00000159374	8.72781954893963	-0.5742285216175127	0.2725509777144296	0.004177311800083436	0.01356794674543596	TRUE
ENSG00000135116	91.29999343364695	-0.5746454408419898	0.11421571918175517	8.678995595984487e-8	6.792774652416124e-7	TRUE
ENSG00000236464	0.7733632240696269	-0.5757204843609484	0.37644566542404984	0.010399159809489944	0.03052392178488052	TRUE
ENSG00000183067	4.836632445294012	-0.5758975940003984	0.14745428756374923	1.3407117443686805e-5	7.248240380685405e-5	TRUE
ENSG00000279587	1.5445692777654072	-0.576115403994865	0.24638786899733886	0.0020916792780930177	0.007295466139622653	TRUE
ENSG00000085552	335.8268626738944	-0.5766032216889925	0.059301849533477384	4.715690380303722e-23	3.3288369319204435e-21	TRUE
ENSG00000279359	1.9304764392651341	-0.5780254838477077	0.24197813408436444	0.0019250695014603222	0.006771343030803967	TRUE
ENSG00000241155	1.6885054829443438	-0.578303229585254	0.22012589523096393	0.0010124547691101756	0.003786757684466661	TRUE
ENSG00000197467	27.961791925516494	-0.5790758470100662	0.2222600892505522	0.0012622172828907943	0.004617407899185501	TRUE
ENSG00000272942	4.346018422413103	-0.5794826830335881	0.15343635558169424	2.2234571450341248e-5	1.150689453004065e-4	TRUE
ENSG00000257743	3.215451478987188	-0.5799985781281068	0.22006984990909156	9.58216876829809e-4	0.0035980392591176296	TRUE
ENSG00000215196	44.591162264465865	-0.5804562214464022	0.0756184159773269	2.8441466597024398e-15	7.026956578947519e-14	TRUE
ENSG00000223343	9.958473127417786	-0.5808208384481868	0.10756556335717521	1.0492602419871523e-8	9.540248378577452e-8	TRUE
ENSG00000279182	2.9661676882275105	-0.5814392350234098	0.19970102817197488	4.4542576825655836e-4	0.0017925160713159385	TRUE
ENSG00000279613	1.2396980859510678	-0.5824089726255207	0.2565972197248055	0.002424204856980789	0.008327532593599113	TRUE
ENSG00000139679	1.8631818652782208	-0.5841162312007615	0.32982877124377	0.006769474040459896	0.020821359285326434	TRUE
ENSG00000272953	6.152967833880606	-0.5841901497602194	0.163355393573699	4.766901813073852e-5	2.3268530031712124e-4	TRUE
ENSG00000117472	8.327108619973654	-0.585654925238617	0.15052413963314754	1.4453483711104474e-5	7.764630231169339e-5	TRUE
ENSG00000082482	235.79821172693653	-0.5858122887740749	0.14219120557263457	6.570667978065388e-6	3.753519646429305e-5	TRUE
ENSG00000248050	2.362831095796065	-0.5869691915604905	0.24567506884136234	0.0018530807307773557	0.0065414080749174545	TRUE
ENSG00000167074	130.9434521767285	-0.5873414614640338	0.10573681372287969	4.938548378188934e-9	4.727868873977819e-8	TRUE
ENSG00000112333	1.8867056444525039	-0.5893478266171872	0.20781828167166985	5.585531583964493e-4	0.002198869833766932	TRUE
ENSG00000229393	1.858279737584187	-0.5894668596281226	0.2457387849588726	0.001797552136207913	0.006369894102863374	TRUE
ENSG00000283504	1.6477573412591147	-0.5902180909194269	0.22890835693538888	0.0011461863617635766	0.004239421126459637	TRUE
ENSG00000180263	98.41283883381409	-0.5905039185670486	0.11784265161518137	9.102744272818172e-8	7.098482976936659e-7	TRUE
ENSG00000090889	40.43351142472579	-0.5910933796505038	0.09323722475901945	3.831118131162461e-11	5.081772579916698e-10	TRUE
